,LASAR,MouseID,Ear (L/R),TumorID,Model CLID,Group#,Group Description,Response,Day Taken,Day,Area,Area Unit,Phenotype 1,Abundance 1,Ratio 1,Core 1
12468,17-0727 A,20191104 Cage-1 Mouse-2,R,1,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
12551,17-0727 A,20191104 Cage-1 Mouse-2,R,10,CL587054,3,Combo,C.R.,2019-11-12,8,0.392733679,mm2,inflamed,3414.7206,0.6178790911928363,3447.8132
12552,17-0727 A,20191104 Cage-1 Mouse-2,R,10,CL587054,3,Combo,C.R.,2019-11-13,9,0.450000317,mm2,excluded,3013.7057,0.29560175205469136,2904.6292
12553,17-0727 A,20191104 Cage-1 Mouse-2,R,10,CL587054,3,Combo,C.R.,2019-11-14,10,0.620646636,mm2,uncertain,2993.8,0.31016945589567657,3108.1821499999996
12550,17-0727 A,20191104 Cage-1 Mouse-2,R,10.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.1.2.3.4.5.6.7.8.9.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.40,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,uncertain,2588.62495,0.6038272440515334,2609.46255
12562,17-0727 A,20191104 Cage-1 Mouse-2,R,10.2.5.9.11.14.16.17.18.19.20.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-12-02,28,0.0,mm2,None,NaN,NaN,NaN
12563,17-0727 A,20191104 Cage-1 Mouse-2,R,10.2.5.9.11.14.16.17.18.19.20.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
12565,17-0727 A,20191104 Cage-1 Mouse-2,R,11,CL587054,3,Combo,C.R.,2019-11-12,8,0.246174909,mm2,inflamed,2876.7759,0.7359701622956102,2903.9879
12566,17-0727 A,20191104 Cage-1 Mouse-2,R,11,CL587054,3,Combo,C.R.,2019-11-13,9,0.312754223,mm2,excluded,2531.1705,0.1821302269359334,2552.96075
12567,17-0727 A,20191104 Cage-1 Mouse-2,R,11,CL587054,3,Combo,C.R.,2019-11-14,10,0.40412744300000003,mm2,excluded,3355.13595,0.29694330604650776,3021.7766
12568,17-0727 A,20191104 Cage-1 Mouse-2,R,11,CL587054,3,Combo,C.R.,2019-11-15,11,0.449266897,mm2,excluded,4363.9522,0.13868289252492885,4188.0044
12569,17-0727 A,20191104 Cage-1 Mouse-2,R,11,CL587054,3,Combo,C.R.,2019-11-17,13,0.474620917,mm2,excluded,4944.8305,0.13877416464389142,4833.6591
12570,17-0727 A,20191104 Cage-1 Mouse-2,R,11,CL587054,3,Combo,C.R.,2019-11-18,14,0.41159505999999996,mm2,excluded,4590.5824,0.2538662018503861,3361.0007
12564,17-0727 A,20191104 Cage-1 Mouse-2,R,11.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.1.2.3.4.5.6.7.8.9.10.12.13.14.15.16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.40,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,inflamed,2327.4529,0.9405490517535255,2422.7466999999997
12576,17-0727 A,20191104 Cage-1 Mouse-2,R,11.2.5.9.10.14.16.17.18.19.20.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-12-02,28,0.0,mm2,None,NaN,NaN,NaN
12577,17-0727 A,20191104 Cage-1 Mouse-2,R,11.2.5.9.10.14.16.17.18.19.20.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
12578,17-0727 A,20191104 Cage-1 Mouse-2,R,12,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,desert,1111.1095,0.8600989400878027,1541.7665
12579,17-0727 A,20191104 Cage-1 Mouse-2,R,12,CL587054,3,Combo,C.R.,2019-11-12,8,0.256119667,mm2,uncertain,1696.4187000000002,0.9971215887270498,1784.50225
12580,17-0727 A,20191104 Cage-1 Mouse-2,R,12,CL587054,3,Combo,C.R.,2019-11-13,9,0.36913594699999996,mm2,inflamed,2137.9781,0.647715164959525,2202.4593
12581,17-0727 A,20191104 Cage-1 Mouse-2,R,12,CL587054,3,Combo,C.R.,2019-11-14,10,0.43783601899999997,mm2,uncertain,2035.0722,0.0,1895.4815
12582,17-0727 A,20191104 Cage-1 Mouse-2,R,12,CL587054,3,Combo,C.R.,2019-11-15,11,0.503584429,mm2,uncertain,2826.98325,0.3581735916330367,3004.101
12583,17-0727 A,20191104 Cage-1 Mouse-2,R,12,CL587054,3,Combo,C.R.,2019-11-17,13,0.522393308,mm2,uncertain,3756.56745,0.5894560390645031,3799.4268
12584,17-0727 A,20191104 Cage-1 Mouse-2,R,12,CL587054,3,Combo,C.R.,2019-11-18,14,0.42156578999999994,mm2,uncertain,5550.7715,0.47107864828855295,5609.6234
12585,17-0727 A,20191104 Cage-1 Mouse-2,R,12,CL587054,3,Combo,C.R.,2019-11-19,15,0.193740874,mm2,inflamed,10218.0902,0.615737719894596,10701.7394
12586,17-0727 A,20191104 Cage-1 Mouse-2,R,12,CL587054,3,Combo,C.R.,2019-11-21,17,0.043637587,mm2,inflamed,11484.6375,0.8057683093205389,23469.3174
12587,17-0727 A,20191104 Cage-1 Mouse-2,R,12,CL587054,3,Combo,C.R.,2019-11-23,19,0.0,mm2,None,NaN,NaN,NaN
12588,17-0727 A,20191104 Cage-1 Mouse-2,R,12,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
12589,17-0727 A,20191104 Cage-1 Mouse-2,R,13,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,desert,1318.9585,0.8755194018974527,1343.17815
12590,17-0727 A,20191104 Cage-1 Mouse-2,R,13,CL587054,3,Combo,C.R.,2019-11-12,8,0.289156492,mm2,uncertain,1819.8008,0.28586426531038117,2066.5368
12591,17-0727 A,20191104 Cage-1 Mouse-2,R,13,CL587054,3,Combo,C.R.,2019-11-13,9,0.408788564,mm2,inflamed,2385.86105,0.7371124132938139,2460.0047
12592,17-0727 A,20191104 Cage-1 Mouse-2,R,13,CL587054,3,Combo,C.R.,2019-11-14,10,0.504710829,mm2,excluded,2585.4964,0.0,2478.8674
12593,17-0727 A,20191104 Cage-1 Mouse-2,R,13,CL587054,3,Combo,C.R.,2019-11-15,11,0.6170588419999999,mm2,uncertain,3931.63145,0.9066261128619695,4082.7322
12594,17-0727 A,20191104 Cage-1 Mouse-2,R,13,CL587054,3,Combo,C.R.,2019-11-17,13,0.535521338,mm2,uncertain,4584.971,0.4448464877548665,4755.6137
12595,17-0727 A,20191104 Cage-1 Mouse-2,R,13,CL587054,3,Combo,C.R.,2019-11-18,14,0.511260639,mm2,inflamed,7919.9696,0.26688519566964103,7939.7364
12596,17-0727 A,20191104 Cage-1 Mouse-2,R,13,CL587054,3,Combo,C.R.,2019-11-19,15,0.355775661,mm2,inflamed,10627.261,0.25347123227412227,10222.777699999999
12597,17-0727 A,20191104 Cage-1 Mouse-2,R,13,CL587054,3,Combo,C.R.,2019-11-21,17,0.048560374,mm2,inflamed,11979.12915,0.7525617257473223,13164.379850000001
12598,17-0727 A,20191104 Cage-1 Mouse-2,R,13,CL587054,3,Combo,C.R.,2019-11-23,19,0.0,mm2,None,NaN,NaN,NaN
12599,17-0727 A,20191104 Cage-1 Mouse-2,R,13,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
12601,17-0727 A,20191104 Cage-1 Mouse-2,R,14,CL587054,3,Combo,C.R.,2019-11-12,8,0.152331786,mm2,inflamed,1981.3679,1.0,2059.6975
12602,17-0727 A,20191104 Cage-1 Mouse-2,R,14,CL587054,3,Combo,C.R.,2019-11-13,9,0.205932348,mm2,excluded,2136.756,0.1638021521807632,2143.7437
12603,17-0727 A,20191104 Cage-1 Mouse-2,R,14,CL587054,3,Combo,C.R.,2019-11-14,10,0.304795612,mm2,excluded,2794.5577,0.4299540739994892,2660.20785
12604,17-0727 A,20191104 Cage-1 Mouse-2,R,14,CL587054,3,Combo,C.R.,2019-11-15,11,0.386814251,mm2,uncertain,3697.1364999999996,0.9342372847294607,3830.91665
12605,17-0727 A,20191104 Cage-1 Mouse-2,R,14,CL587054,3,Combo,C.R.,2019-11-17,13,0.522188715,mm2,inflamed,5616.9673,0.8362534940161217,5633.9748
12606,17-0727 A,20191104 Cage-1 Mouse-2,R,14,CL587054,3,Combo,C.R.,2019-11-18,14,0.29945564,mm2,excluded,4590.5824,0.2538662018503861,3361.0007
12600,17-0727 A,20191104 Cage-1 Mouse-2,R,14.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.1.2.3.4.5.6.7.8.9.10.11.12.13.15.16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.40,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,desert,1370.1085,0.578536437696442,1588.42015
12612,17-0727 A,20191104 Cage-1 Mouse-2,R,14.2.5.9.10.11.16.17.18.19.20.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-12-02,28,0.0,mm2,None,NaN,NaN,NaN
12613,17-0727 A,20191104 Cage-1 Mouse-2,R,14.2.5.9.10.11.16.17.18.19.20.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
12614,17-0727 A,20191104 Cage-1 Mouse-2,R,15,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,inflamed,2190.5799,0.8179145836314483,2461.94915
12615,17-0727 A,20191104 Cage-1 Mouse-2,R,15,CL587054,3,Combo,C.R.,2019-11-12,8,0.014200777999999999,mm2,inflamed,1911.1431499999999,1.0,2102.1026
12616,17-0727 A,20191104 Cage-1 Mouse-2,R,15,CL587054,3,Combo,C.R.,2019-11-13,9,0.079052401,mm2,excluded,1923.7343500000002,0.47320659134066406,1883.6394
12617,17-0727 A,20191104 Cage-1 Mouse-2,R,15,CL587054,3,Combo,C.R.,2019-11-14,10,0.110762709,mm2,uncertain,1866.8032,0.5150568562484014,1886.3797
12618,17-0727 A,20191104 Cage-1 Mouse-2,R,15,CL587054,3,Combo,C.R.,2019-11-15,11,0.132456347,mm2,uncertain,2458.0036,0.651361258597299,2527.3981
12619,17-0727 A,20191104 Cage-1 Mouse-2,R,15,CL587054,3,Combo,C.R.,2019-11-17,13,0.0,mm2,None,NaN,NaN,NaN
12620,17-0727 A,20191104 Cage-1 Mouse-2,R,15,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
12622,17-0727 A,20191104 Cage-1 Mouse-2,R,16,CL587054,3,Combo,C.R.,2019-11-12,8,0.417974824,mm2,uncertain,2501.8458,0.7432335947713455,2542.2216
12623,17-0727 A,20191104 Cage-1 Mouse-2,R,16,CL587054,3,Combo,C.R.,2019-11-13,9,0.516368937,mm2,uncertain,2434.0713,0.52717068384646,2460.02915
12624,17-0727 A,20191104 Cage-1 Mouse-2,R,16,CL587054,3,Combo,C.R.,2019-11-14,10,0.6296995579999999,mm2,uncertain,2994.6038,0.13305042809580553,2684.9509
12626,17-0727 A,20191104 Cage-1 Mouse-2,R,16,CL587054,3,Combo,C.R.,2019-11-17,13,0.8109371839999999,mm2,excluded,3885.5382,0.32784551153534786,3372.059
12621,17-0727 A,20191104 Cage-1 Mouse-2,R,16.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.40,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,uncertain,1699.1455,0.9181657048022585,1819.6916
12633,17-0727 A,20191104 Cage-1 Mouse-2,R,16.2.5.9.10.11.14.17.18.19.20.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-12-02,28,0.0,mm2,None,NaN,NaN,NaN
12634,17-0727 A,20191104 Cage-1 Mouse-2,R,16.2.5.9.10.11.14.17.18.19.20.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
12625,17-0727 A,20191104 Cage-1 Mouse-2,R,16.20,CL587054,3,Combo,C.R.,2019-11-15,11,1.3185977169999998,mm2,excluded,3915.71505,0.033720265380174315,3128.0405
12636,17-0727 A,20191104 Cage-1 Mouse-2,R,17,CL587054,3,Combo,C.R.,2019-11-12,8,0.39163807,mm2,inflamed,2121.0165,0.6496039121696574,2157.18555
12637,17-0727 A,20191104 Cage-1 Mouse-2,R,17,CL587054,3,Combo,C.R.,2019-11-13,9,0.435925955,mm2,uncertain,2327.0723,0.6446615163685161,2345.03925
12638,17-0727 A,20191104 Cage-1 Mouse-2,R,17,CL587054,3,Combo,C.R.,2019-11-14,10,0.5077980009999999,mm2,excluded,2821.6138,0.2593021936668314,2566.5016
12639,17-0727 A,20191104 Cage-1 Mouse-2,R,17,CL587054,3,Combo,C.R.,2019-11-15,11,0.49102715,mm2,excluded,3560.8706,0.06451488662939255,2966.5309
12640,17-0727 A,20191104 Cage-1 Mouse-2,R,17,CL587054,3,Combo,C.R.,2019-11-17,13,0.47291597799999996,mm2,excluded,5267.7962,0.10333649152545275,5010.3181
12641,17-0727 A,20191104 Cage-1 Mouse-2,R,17,CL587054,3,Combo,C.R.,2019-11-18,14,0.6711260629999999,mm2,excluded,4590.5824,0.2538662018503861,3361.0007
12635,17-0727 A,20191104 Cage-1 Mouse-2,R,17.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.40,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,desert,1399.1892,0.55042765040143,1437.72455
12647,17-0727 A,20191104 Cage-1 Mouse-2,R,17.2.5.9.10.11.14.16.18.19.20.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-12-02,28,0.0,mm2,None,NaN,NaN,NaN
12648,17-0727 A,20191104 Cage-1 Mouse-2,R,17.2.5.9.10.11.14.16.18.19.20.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
12650,17-0727 A,20191104 Cage-1 Mouse-2,R,18,CL587054,3,Combo,C.R.,2019-11-12,8,0.359191188,mm2,uncertain,3177.8063,0.57103826227892,3174.3772
12651,17-0727 A,20191104 Cage-1 Mouse-2,R,18,CL587054,3,Combo,C.R.,2019-11-13,9,0.5101745329999999,mm2,uncertain,2729.3413,0.05032933104375813,2724.6457
12652,17-0727 A,20191104 Cage-1 Mouse-2,R,18,CL587054,3,Combo,C.R.,2019-11-14,10,0.535624263,mm2,excluded,3027.2766,0.19510442024735958,2609.6222
12649,17-0727 A,20191104 Cage-1 Mouse-2,R,18.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.40,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,uncertain,2684.3006,0.013246027908360155,2548.0725
12653,17-0727 A,20191104 Cage-1 Mouse-2,R,18.19,CL587054,3,Combo,C.R.,2019-11-15,11,1.496527266,mm2,uncertain,3294.89285,0.3859493119876986,3315.19225
12661,17-0727 A,20191104 Cage-1 Mouse-2,R,18.2.5.9.10.11.14.16.17.19.20.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-12-02,28,0.0,mm2,None,NaN,NaN,NaN
12662,17-0727 A,20191104 Cage-1 Mouse-2,R,18.2.5.9.10.11.14.16.17.19.20.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
12664,17-0727 A,20191104 Cage-1 Mouse-2,R,19,CL587054,3,Combo,C.R.,2019-11-12,8,0.426107613,mm2,excluded,3226.28855,0.19029333643172153,2966.3471
12665,17-0727 A,20191104 Cage-1 Mouse-2,R,19,CL587054,3,Combo,C.R.,2019-11-13,9,0.552229062,mm2,excluded,2661.9038,0.11888521196471423,2551.5323
12666,17-0727 A,20191104 Cage-1 Mouse-2,R,19,CL587054,3,Combo,C.R.,2019-11-14,10,0.7429653789999999,mm2,excluded,3027.2766,0.19510442024735958,2609.6222
12663,17-0727 A,20191104 Cage-1 Mouse-2,R,19.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.40,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,excluded,2890.4198,0.0860838810376334,2504.6183
12675,17-0727 A,20191104 Cage-1 Mouse-2,R,19.2.5.9.10.11.14.16.17.18.20.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-12-02,28,0.0,mm2,None,NaN,NaN,NaN
12676,17-0727 A,20191104 Cage-1 Mouse-2,R,19.2.5.9.10.11.14.16.17.18.20.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
12470,17-0727 A,20191104 Cage-1 Mouse-2,R,2,CL587054,3,Combo,C.R.,2019-11-12,8,0.171083555,mm2,uncertain,2266.7515,0.45867089873147976,2317.06095
12471,17-0727 A,20191104 Cage-1 Mouse-2,R,2,CL587054,3,Combo,C.R.,2019-11-13,9,0.22754955600000001,mm2,uncertain,2564.3895,0.43049281864481304,2564.3895
12472,17-0727 A,20191104 Cage-1 Mouse-2,R,2,CL587054,3,Combo,C.R.,2019-11-14,10,0.273882178,mm2,excluded,2581.28075,0.02297785338566494,2538.68775
12473,17-0727 A,20191104 Cage-1 Mouse-2,R,2,CL587054,3,Combo,C.R.,2019-11-15,11,0.38806580699999993,mm2,inflamed,3828.5056,0.8693806245484843,3937.7019499999997
12474,17-0727 A,20191104 Cage-1 Mouse-2,R,2,CL587054,3,Combo,C.R.,2019-11-17,13,0.490545048,mm2,excluded,3885.5382,0.32784551153534786,3372.059
12469,17-0727 A,20191104 Cage-1 Mouse-2,R,2.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.1.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.40,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,inflamed,1854.287,0.585822665317588,1931.3502
12476,17-0727 A,20191104 Cage-1 Mouse-2,R,2.5.9.10.11.14.16.17.18.19.20.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-11-19,15,15.729347619999999,mm2,excluded,5891.4453,0.0035735039344970965,3307.60165
12477,17-0727 A,20191104 Cage-1 Mouse-2,R,2.5.9.10.11.14.16.17.18.19.20.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-11-21,17,12.96841501,mm2,excluded,6206.587299999999,0.01774307717471902,3285.67285
12478,17-0727 A,20191104 Cage-1 Mouse-2,R,2.5.9.10.11.14.16.17.18.19.20.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-11-23,19,13.826088359999998,mm2,excluded,5981.5583,0.029741127844880585,2325.1514
12479,17-0727 A,20191104 Cage-1 Mouse-2,R,2.5.9.10.11.14.16.17.18.19.20.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-11-24,20,6.830825948999999,mm2,excluded,6468.0483,0.15604713630909173,5468.23855
12480,17-0727 A,20191104 Cage-1 Mouse-2,R,2.5.9.10.11.14.16.17.18.19.20.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-11-25,21,1.716342224,mm2,inflamed,7231.343,0.26770177773184617,7021.2178
12481,17-0727 A,20191104 Cage-1 Mouse-2,R,2.5.9.10.11.14.16.17.18.19.20.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-12-02,28,0.0,mm2,None,NaN,NaN,NaN
12482,17-0727 A,20191104 Cage-1 Mouse-2,R,2.5.9.10.11.14.16.17.18.19.20.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
12475,17-0727 A,20191104 Cage-1 Mouse-2,R,2.5.9.10.16.18.19.20.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-11-18,14,15.550583699999999,mm2,excluded,4590.5824,0.2538662018503861,3361.0007
12678,17-0727 A,20191104 Cage-1 Mouse-2,R,20,CL587054,3,Combo,C.R.,2019-11-12,8,0.30335727,mm2,inflamed,2543.7264,0.4944872217002497,2607.0455
12679,17-0727 A,20191104 Cage-1 Mouse-2,R,20,CL587054,3,Combo,C.R.,2019-11-13,9,0.32080273499999995,mm2,excluded,2583.7457,0.16750728390489947,2336.7030999999997
12680,17-0727 A,20191104 Cage-1 Mouse-2,R,20,CL587054,3,Combo,C.R.,2019-11-14,10,0.46411869499999997,mm2,uncertain,2994.6038,0.13305042809580553,2684.9509
12682,17-0727 A,20191104 Cage-1 Mouse-2,R,20,CL587054,3,Combo,C.R.,2019-11-17,13,0.4890788,mm2,excluded,3885.5382,0.32784551153534786,3372.059
12677,17-0727 A,20191104 Cage-1 Mouse-2,R,20.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.40,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,uncertain,1951.72675,0.376293618059211,1993.3369
12681,17-0727 A,20191104 Cage-1 Mouse-2,R,20.16,CL587054,3,Combo,C.R.,2019-11-15,11,1.3185977169999998,mm2,uncertain,4193.62065,0.503509794822108,4106.9563
12689,17-0727 A,20191104 Cage-1 Mouse-2,R,20.2.5.9.10.11.14.16.17.18.19.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-12-02,28,0.0,mm2,None,NaN,NaN,NaN
12690,17-0727 A,20191104 Cage-1 Mouse-2,R,20.2.5.9.10.11.14.16.17.18.19.23.24.25.26.27.28.29.31.33.34.35.36,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
12691,17-0727 A,20191104 Cage-1 Mouse-2,R,21,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,inflamed,1915.6814,0.7215450074384886,2118.053
12692,17-0727 A,20191104 Cage-1 Mouse-2,R,21,CL587054,3,Combo,C.R.,2019-11-12,8,0.272806635,mm2,inflamed,2832.8257,0.5940304205750067,3026.0234
12693,17-0727 A,20191104 Cage-1 Mouse-2,R,21,CL587054,3,Combo,C.R.,2019-11-13,9,0.362267321,mm2,excluded,2647.89415,0.28058206989216855,2515.44305
12694,17-0727 A,20191104 Cage-1 Mouse-2,R,21,CL587054,3,Combo,C.R.,2019-11-14,10,0.516600611,mm2,excluded,2948.4436,0.2803886338844487,2918.926
12695,17-0727 A,20191104 Cage-1 Mouse-2,R,21,CL587054,3,Combo,C.R.,2019-11-15,11,0.65698348,mm2,desert,1335.6597,0.7994779539225976,1441.11995
12696,17-0727 A,20191104 Cage-1 Mouse-2,R,21,CL587054,3,Combo,C.R.,2019-11-17,13,0.830305291,mm2,excluded,3195.2114,0.35370855909742505,3152.7662499999997
12697,17-0727 A,20191104 Cage-1 Mouse-2,R,21,CL587054,3,Combo,C.R.,2019-11-18,14,0.653187093,mm2,excluded,3869.9732000000004,0.2937873890690987,3279.6216999999997
12698,17-0727 A,20191104 Cage-1 Mouse-2,R,21,CL587054,3,Combo,C.R.,2019-11-21,17,0.6001211169999999,mm2,uncertain,5769.9992,0.6331628362038378,5778.6731
12699,17-0727 A,20191104 Cage-1 Mouse-2,R,21,CL587054,3,Combo,C.R.,2019-11-23,19,0.0,mm2,None,NaN,NaN,NaN
12700,17-0727 A,20191104 Cage-1 Mouse-2,R,21,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
12701,17-0727 A,20191104 Cage-1 Mouse-2,R,22,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,desert,1159.6739,0.849739345238546,1292.6615499999998
12702,17-0727 A,20191104 Cage-1 Mouse-2,R,22,CL587054,3,Combo,C.R.,2019-11-12,8,0.198389502,mm2,desert,1471.0783000000001,0.7670856174017088,1477.6773
12703,17-0727 A,20191104 Cage-1 Mouse-2,R,22,CL587054,3,Combo,C.R.,2019-11-13,9,0.247270518,mm2,uncertain,1990.2989,0.5336747115179313,1946.9708
12704,17-0727 A,20191104 Cage-1 Mouse-2,R,22,CL587054,3,Combo,C.R.,2019-11-14,10,0.26361941899999997,mm2,uncertain,1824.5414,1.0,1834.4121
12705,17-0727 A,20191104 Cage-1 Mouse-2,R,22,CL587054,3,Combo,C.R.,2019-11-15,11,0.31543383899999994,mm2,inflamed,2574.35915,0.9085553057524645,2675.4088
12706,17-0727 A,20191104 Cage-1 Mouse-2,R,22,CL587054,3,Combo,C.R.,2019-11-17,13,0.350058074,mm2,inflamed,3306.797,0.6828210434610952,3479.9026000000003
12707,17-0727 A,20191104 Cage-1 Mouse-2,R,22,CL587054,3,Combo,C.R.,2019-11-18,14,0.19232244399999998,mm2,excluded,3923.1368,0.3090994653506718,3793.48175
12708,17-0727 A,20191104 Cage-1 Mouse-2,R,22,CL587054,3,Combo,C.R.,2019-11-19,15,0.011222286,mm2,inflamed,7165.4923,0.27601056269263247,7088.80315
12709,17-0727 A,20191104 Cage-1 Mouse-2,R,22,CL587054,3,Combo,C.R.,2019-11-21,17,0.009720419,mm2,inflamed,9723.1263,0.9950815238747158,11567.0604
12710,17-0727 A,20191104 Cage-1 Mouse-2,R,22,CL587054,3,Combo,C.R.,2019-11-23,19,0.0,mm2,None,NaN,NaN,NaN
12711,17-0727 A,20191104 Cage-1 Mouse-2,R,22,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
12713,17-0727 A,20191104 Cage-1 Mouse-2,R,23,CL587054,3,Combo,C.R.,2019-11-12,8,0.470142666,mm2,uncertain,2145.1525,0.4147036021616517,2204.5627
12714,17-0727 A,20191104 Cage-1 Mouse-2,R,23,CL587054,3,Combo,C.R.,2019-11-13,9,0.5563165259999999,mm2,excluded,2742.6019,0.42339034962976935,2717.7675
12715,17-0727 A,20191104 Cage-1 Mouse-2,R,23,CL587054,3,Combo,C.R.,2019-11-14,10,0.6906920559999999,mm2,uncertain,2984.0101,0.3495207311218612,2890.0704
12716,17-0727 A,20191104 Cage-1 Mouse-2,R,23,CL587054,3,Combo,C.R.,2019-11-15,11,0.702373245,mm2,excluded,3747.1897,0.05625882473538198,3458.6613
12717,17-0727 A,20191104 Cage-1 Mouse-2,R,23,CL587054,3,Combo,C.R.,2019-11-17,13,0.92114444,mm2,uncertain,4878.25105,0.39165036544677273,4764.3696
